"unit_id","language","framework","repository_url","commit_sha","license","relative_path","start_line","end_line","symbol","cc_lizard_1_23_0","isolation_status","source_sha256","reviewer_1","reviewer_2","notes"
"JAVA_001_bubbleSort","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","11","31","bubbleSort","6","include","a85d43fb2c865ead84b8d1f7f27a6143c6e04a7af5b0f90679dc7a3e7d3b2af3","Vinh","Nghi","static method"
"JAVA_002_binarySearch","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","34","51","binarySearch","6","include","ecbfe609739ed007dfbec02f533c991670fcaa8631627c037d6d84f3daa76460","Vinh","Nghi","static method"
"JAVA_003_isValidEmail","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","54","77","isValidEmail","15","include","d3a0d8997af51d15b5bcff34d3a38239d4e366d2f1dfcf6e2d27fd0efcd495b1","Vinh","Nghi","static method"
"JAVA_004_mergeIntervals","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","80","102","mergeIntervals","9","include","c1f1c2ff507711f13a3c7a6d6d4418977f715cc8a05b3b66e114cc18f4cbf385","Vinh","Nghi","static method"
"JAVA_005_calculateTax","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","105","130","calculateTax","8","include","0bf38332f1165040886eaeedffe8c0b904a2999944eac66826614c919f609496","Vinh","Nghi","static method"
"JAVA_006_validatePassword","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","133","155","validatePassword","11","include","f68d64c886753dbaed161f1ba0c3376db6620216fd0e5a87a26d4543a4b73b9b","Vinh","Nghi","static method"
"JAVA_007_evaluateRPN","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","158","193","evaluateRPN","13","include","bcfec215f0e86ec4c2b7b2bf7cca2e165f47ed380520a635c0d68ff95d2fc84e","Vinh","Nghi","static method"
"JAVA_008_knapsack01","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","196","212","knapsack01","8","include","bd499e413f3e56decaa6e85197fcae13a371d3beb2a1697c579d187962d89eb1","Vinh","Nghi","static method"
"JAVA_009_jsonPathLookup","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","215","253","jsonPathLookup","14","include","608866ad662e1261600336ef35830b740c123992115ac1a274a0b3183364ed58","Vinh","Nghi","static method"
"JAVA_010_runLengthEncoding","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","256","277","runLengthEncoding","7","include","8022b5eaef7b7e2bac0a8d9d94db64827092585a9a2fb4c559730bbc233160ba","Vinh","Nghi","static method"
