2026-07-16T09:01:20.899183+00:00 | JAVA_001_bubbleSort | java |  | openai-30e5fc231d39 | OK | 5d30eac7b2a0d2b9de4d685a54c55a584b65605c6900c9fe1f9e76d0cd7c82e0 | a85d43fb2c865ead84b8d1f7f27a6143c6e04a7af5b0f90679dc7a3e7d3b2af3 | 
2026-07-16T09:01:30.733170+00:00 | JAVA_002_binarySearch | java |  | openai-029de058d94f | OK | 8814e7d339b6006790385e53ea03d4d006e0242fccb0c2a978357e37646a5809 | ecbfe609739ed007dfbec02f533c991670fcaa8631627c037d6d84f3daa76460 | 
2026-07-16T09:01:50.712559+00:00 | JAVA_003_isValidEmail | java |  | openai-63a4b3709b83 | OK | f5d2d800919f7e3f16cc3c97ac9a22ca3ce2ba5de2bef870d6f5cf0219f2a386 | d3a0d8997af51d15b5bcff34d3a38239d4e366d2f1dfcf6e2d27fd0efcd495b1 | 
2026-07-16T09:02:04.936958+00:00 | JAVA_004_mergeIntervals | java |  | openai-f3b262c1d45e | OK | 75aece290ba7d726ae97ff7f0f77196d7ed60d42f1b83c94563ef9741b303efc | c1f1c2ff507711f13a3c7a6d6d4418977f715cc8a05b3b66e114cc18f4cbf385 | 
2026-07-16T09:02:20.495284+00:00 | JAVA_005_calculateTax | java |  | openai-e05176f01d79 | OK | dbe3d36c20eeedef624e3b462833645f201204b75e7dbe4369436ed696f89f44 | 0bf38332f1165040886eaeedffe8c0b904a2999944eac66826614c919f609496 | 
2026-07-16T09:02:28.699258+00:00 | JAVA_006_validatePassword | java |  | openai-f52cc241dd38 | OK | d4fcbadd1d05f6c506fcc77d4a86ed0d3fd38262a71d4fa393c25914c1c0a5d0 | f68d64c886753dbaed161f1ba0c3376db6620216fd0e5a87a26d4543a4b73b9b | 
2026-07-16T09:02:46.913637+00:00 | JAVA_007_evaluateRPN | java |  | openai-680ff8c565f9 | OK | 458be8fd33a47016fc905278c125774245bcf215f8b29bf7efef1fa0c7f83c07 | bcfec215f0e86ec4c2b7b2bf7cca2e165f47ed380520a635c0d68ff95d2fc84e | 
2026-07-16T09:02:56.261427+00:00 | JAVA_008_knapsack01 | java |  | openai-eca131db7880 | OK | 0b1f819fa2b2dc1c5e876fbb01b179dbbcda4962d3336a7d0bd889ae6f8a5ec5 | bd499e413f3e56decaa6e85197fcae13a371d3beb2a1697c579d187962d89eb1 | 
2026-07-16T09:03:11.296796+00:00 | JAVA_009_jsonPathLookup | java |  | openai-fe316f76a875 | OK | 9f5ec78fb2529d5e0e8b02cf64a8a81ba9b5afb5bb6be544e5d7e67abc6e8368 | 608866ad662e1261600336ef35830b740c123992115ac1a274a0b3183364ed58 | 
2026-07-16T09:03:17.327328+00:00 | JAVA_010_runLengthEncoding | java |  | openai-188be54ce01b | OK | 02fe0089a327fa0e47afa56da058c1c99be9b207a250219bf97497c2414796dc | 8022b5eaef7b7e2bac0a8d9d94db64827092585a9a2fb4c559730bbc233160ba | 
2026-07-16T09:03:23.588767+00:00 | JAVA_011_runLengthDecoding | java |  | openai-7b9df08664ec | OK | 04b1c836d07a0e57588e7e96ebf8653ee6e03aeeb05e7e51eb927e6f45b54b99 | 36a2461bbd22df6f90af81a1e9f778d772c2cba5fae3f8a263cd4beaad5e233a | 
2026-07-16T09:04:01.464029+00:00 | JAVA_012_checkSudokuBoard | java |  | openai-5667f7f50051 | OK | b35e48aa5612b7eba98eb1b0db680e2599a7dcdb38704ff81f5043a4b74e0e6e | 0b73e8b2911ab8c3d6c8ce5a33affb4ef5ddd7ab6dff64b22eb06bcaeb3195ff | 
