unit_id,symbol,cc,status,error_type,error_message,generated_test_path,notes
JAVA_001_bubbleSort,bubbleSort,6,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_001_bubbleSort/generated_test.java,raw_sha256=bdf9d0eaccbcc66cd9abaf315ce8abe7b4667c229075b8d070a60429bf713c9b; staged_sha256=bdf9d0eaccbcc66cd9abaf315ce8abe7b4667c229075b8d070a60429bf713c9b
JAVA_002_binarySearch,binarySearch,6,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_002_binarySearch/generated_test.java,raw_sha256=b0c47b29429675c829f769ee8b75e0f525f3b1cfc886cefe74d3957e3521277b; staged_sha256=b0c47b29429675c829f769ee8b75e0f525f3b1cfc886cefe74d3957e3521277b
JAVA_003_isValidEmail,isValidEmail,15,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_003_isValidEmail/generated_test.java,raw_sha256=222ff6e4d29db5759be30b4d67b204403ec7578b3aec56003443e7cc1b153947; staged_sha256=222ff6e4d29db5759be30b4d67b204403ec7578b3aec56003443e7cc1b153947
JAVA_004_mergeIntervals,mergeIntervals,9,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_004_mergeIntervals/generated_test.java,raw_sha256=f4e8b219e53482b5c8efe1d10394e0892ecfe3e0ae3e12b79df5237dbb85c21b; staged_sha256=f4e8b219e53482b5c8efe1d10394e0892ecfe3e0ae3e12b79df5237dbb85c21b
JAVA_005_calculateTax,calculateTax,8,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_005_calculateTax/generated_test.java,raw_sha256=723a6702451fbd9a33ef91f9ff70bc2cffbc8fdbef9df1352a6a60b79bde206c; staged_sha256=723a6702451fbd9a33ef91f9ff70bc2cffbc8fdbef9df1352a6a60b79bde206c
JAVA_006_validatePassword,validatePassword,11,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_006_validatePassword/generated_test.java,raw_sha256=bb2501d4cf67b2b112467f26075cdf513301fc49abdd48db75b00a8fa79f04fe; staged_sha256=bb2501d4cf67b2b112467f26075cdf513301fc49abdd48db75b00a8fa79f04fe
JAVA_007_evaluateRPN,evaluateRPN,13,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_007_evaluateRPN/generated_test.java,raw_sha256=37c5f448be5e6877d6c187656a67f6d64716741a051f04d2f5982a906cdab49d; staged_sha256=37c5f448be5e6877d6c187656a67f6d64716741a051f04d2f5982a906cdab49d
JAVA_008_knapsack01,knapsack01,8,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_008_knapsack01/generated_test.java,raw_sha256=76a396d4ebe866035f39ee309632dfd55c56792e6bfd79740bd870a3277adbe7; staged_sha256=76a396d4ebe866035f39ee309632dfd55c56792e6bfd79740bd870a3277adbe7
JAVA_009_jsonPathLookup,jsonPathLookup,14,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_009_jsonPathLookup/generated_test.java,raw_sha256=8e242420fcfd0e06b7ce682552347cf286c979a0a83c8a3e45478f6d13e19f13; staged_sha256=8e242420fcfd0e06b7ce682552347cf286c979a0a83c8a3e45478f6d13e19f13
JAVA_010_runLengthEncoding,runLengthEncoding,7,EXECUTABLE,,,C:/Users/wuann_/Desktop/SWT_FINAL3/SWT301-SE1944-Group6/results/full_requests/JAVA_010_runLengthEncoding/generated_test.java,raw_sha256=f07fc76ef04301796a6e9e3d6802cc4a91d78c419d7b320b21f0f8d706e2b05a; staged_sha256=f07fc76ef04301796a6e9e3d6802cc4a91d78c419d7b320b21f0f8d706e2b05a
